Nome do Resort,Plano de Refeição,Descrição Curta,Imagem link,Classificação,Duração,Foco do Resort (tags),Transfer de Malé,Diferencial Único,Ref.,Preço,Slug
Adaaran Select Hudhuranfushi,All inclusive,"Localizado na Ilha Lhohifushi, ideal para famílias e surfistas. Conhecido como ""Ilha de Ouro Branco"", oferece excelente custo-benefício com acesso exclusivo ao surf break Lohis.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/6322740.jpg?k=0620ef260bc353798fd53368b292da9ab9301934666fa4fe653e87032b88d0b9&o=,5 estrelas,4 noites,"Surf, Famílias, All-inclusive",30 min speedboat,Acesso exclusivo ao surf break Lohis,FM01,1200,adaaran-select
Amilla Maldives Resort and Residences,All inclusive,"Localizado no Atol Baa (UNESCO) com arquitetura contemporânea. Uma das maiores ilhas das Maldivas com 70% de área preservada, oferece experiência sustentável exclusiva.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/456316779.jpg?k=73679592af61f6b644d574a3622d6de93813fe02f0f89adda1a1c2088bcce352&o=,6 estrelas,4 noites,"Luxury sustentável, Casais, Famílias",35 min hidroavião,Villa na copa das árvores,FM02,4000,amilla-maldives
Anantara Dhigu Maldives Resort,Meia pensão (café da manhã e jantar),"Localizado no Atol Male Sul, parte de complexo de 3 ilhas Anantara conectadas. Oferece 110 villas espaçosas com acesso às instalações das ilhas irmãs.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/222597522.jpg?k=4f6380476dda48dede968fa453226b19d6a15a90f46cf0c8d30cd5c34b30b921&o=,5 estrelas,4 noites,"Famílias, Casais, Atividades aquáticas",30 min speedboat (24h),Acesso a 3 ilhas Anantara com transfer gratuito,FM03,2500,anantara-dhigu
Anantara Kihavah Maldives Villas,Meia pensão (café da manhã e jantar),"Localizado no Atol Baa (UNESCO) com 79 villas privativas com piscina. Destino de celebridades, oferece experiências gastronômicas subaquáticas únicas.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/327022993.jpg?k=e56a270867edabf4828c6edfe50301e5a427e27098244045bf00a8cfd7e5cfc2&o=,6 estrelas,4 noites,"Ultra-luxury, Casais, Gastronomia",35 min hidroavião,Restaurante SEA subaquático + observatório SKY,FM04,6000,anantara-kihavah
Ayada Maldives,All inclusive,"Localizado no Atol Gaafu Dhaalu, #1 TripAdvisor. Primeiro resort temático turco nas Maldivas com 122 villas e AySpa de 3.500m² com Hammam privativo.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/556796046.jpg?k=81580696d591ea5f1605cbf7bb3ffb4fd15c836993941263140c10976da93421&o=,6 estrelas,4 noites,"Luxury, Casais, Spa wellness",55-75 min voo + 25-50 min speedboat,Hammam turco + jardim orgânico próprio,FM05,3000,ayada-maldives
Cheval Blanc Randheli,Café da manhã,"Resort ultra-luxo LVMH em 6 ilhas privadas no Atol Noonu, apenas 46 villas por Jean-Michel Gathy. Mayordomos privativos, hidroavião próprio e villa em ilha dedicada.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/684303528.jpg?k=c7b6d9c78539e2d3e43f213fa8cf5b3fa8b68cec6b0d24420df0a9fdd9d7cc1d&o=,7 estrelas,4 noites,"Ultra-luxury exclusivo, Casais VIP",40 min hidroavião privativo,Único resort LVMH,FM06,8000,cheval-blanc-randheli
COMO Maalifushi,All inclusive,"Localizado no isolado Atol Thaa, único resort em todo o atol. Design minimalista japonês com COMO Shambhala Retreat focado em wellness asiático.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/371355210.jpg?k=c7d1e3cdb9968c47245800421700fb2585e626109fc5004380ab169af77c3e8d&o=,5 estrelas,4 noites,"Wellness & Spa, Privacidade máxima",60 min hidroavião,Shambhala Retreat,FM07,5500,como-maalifushi
Conrad Maldives Rangali Island,All inclusive,"Resort icônico localizado em duas ilhas conectadas no Atol Ari Sul. Famoso pelo Ithaa - primeiro restaurante subaquático do mundo, com mais de 20 anos de tradição.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/731358850.jpg?k=9588171ce10ede0bfc968f5da4bfd5d791dc590c4d398e9b735f9acd577da96b&o=,6 estrelas,4 noites,"Gastronomia, Casais, Luxury clássico",30 min hidroavião,Ithaa primeiro restaurante subaquático + suíte Muraka,FM08,4000,conrad-maldives
Emerald Maldives Resort & Spa,All inclusive,"Localizado no Atol Raa, eleito Melhor Resort All-Inclusive do Mundo 2024 pelo TripAdvisor. 120 villas em 20 hectares sustentáveis.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/248951908.jpg?k=a961c4ec5822b6d94d7ca04300ed474229a206f5bcd4280122526881a7371c05&o=,5 estrelas,4 noites,"Deluxe All-Inclusive, Famílias, Sustentabilidade",40 min hidroavião ou 30 min voo + 15 min speedboat,Melhor All-Inclusive Mundo 2024 + Kids Club 1.500m²,FM09,3500,emerald-maldives
Emerald Faarufushi,All inclusive,"Localizado no Atol Raa com 80 villas espaçosas em ilha de 17 hectares. Membro dos Leading Hotels of the World, oferece conceito Deluxe All-Inclusive premium com 5 restaurantes, spa balinês Nika com 10 bangalôs privativos e acesso direto a recife de coral de 9km para mergulho e snorkeling.",https://cf.bstatic.com/xdata/images/hotel/max1024x768/517382799.jpg?k=92d21f54cea0d80766e791f48dff2595c8f03231331122d1d214458bd0e5a4ad&o=,5 estrelas,4 noites,"Deluxe All-Inclusive, Casais, Famílias, Mergulho, Recife próprio",45 min hidroavião ou 40 min voo doméstico + 5 min speedboat,Recife próprio de 9km,FM10,1900,emerald-faarufushi
